Rank,Median Household Income,Zip / Population,Zip,Population
1428,"$36,447 ",96059 / 711,96059,711
198,"$96,563 ",93664 / 703,93664,703
1505,"$32,750 ",93254 / 700,93254,700
443,"$75,750 ",95637 / 694,95637,694
1101,"$47,500 ",95979 / 685,95979,685
1633,"$24,276 ",93666 / 683,93666,683
101,"$113,281 ",94946 / 682,94946,682
506,"$72,120 ",95254 / 682,95254,682
827,"$57,212 ",96141 / 669,96141,669
1070,"$48,839 ",95556 / 655,95556,655
595,"$67,031 ",95017 / 654,95017,654
120,"$107,660 ",94592 / 651,94592,651
921,"$53,750 ",93541 / 651,93541,651
442,"$75,862 ",93067 / 641,93067,641
1381,"$38,229 ",92333 / 640,92333,640
693,"$62,500 ",95043 / 636,95043,636
1131,"$46,250 ",95230 / 635,95230,635
3,"$200,325 ",91980 / 631,91980,631
18,"$157,879 ",91210 / 614,91210,614
1493,"$33,309 ",95335 / 613,95335,613
1484,"$33,813 ",93665 / 612,93665,612
1272,"$41,964 ",92268 / 605,92268,605
1670,"$16,154 ",93606 / 604,93606,604
147,"$102,872 ",95318 / 601,95318,601
1359,"$38,750 ",95456 / 600,95456,600
1354,"$38,889 ",96038 / 599,96038,599
1577,"$29,030 ",93255 / 598,93255,598
1207,"$43,594 ",95459 / 596,95459,596
1630,"$24,722 ",95922 / 595,95922,595
1397,"$37,461 ",95935 / 594,95935,594
1028,"$50,446 ",95233 / 591,95233,591
1019,"$50,595 ",93529 / 589,93529,589
1469,"$34,583 ",95552 / 587,95552,587
1530,"$31,917 ",96091 / 578,96091,578
1661,"$19,922 ",95225 / 570,95225,570
476,"$73,542 ",95439 / 566,95439,566
894,"$55,000 ",95653 / 565,95653,565
213,"$94,712 ",93932 / 564,93932,564
1312,"$40,500 ",95563 / 559,95563,559
1628,"$25,200 ",95914 / 555,95914,555
444,"$75,714 ",95697 / 554,95697,554
1456,"$34,911 ",95527 / 553,95527,553
1528,"$31,964 ",95543 / 551,95543,551
1576,"$29,048 ",96104 / 548,96104,548
1043,"$49,732 ",96016 / 532,96016,532
1242,"$42,619 ",96084 / 530,96084,530
1196,"$43,854 ",95471 / 528,95471,528
1570,"$29,306 ",96033 / 526,96033,526
1597,"$27,727 ",96087 / 525,96087,525
1624,"$25,707 ",92258 / 520,92258,520
636,"$65,114 ",95651 / 517,95651,517
1393,"$37,631 ",95385 / 515,95385,515
1575,"$29,063 ",95939 / 512,95939,512
675,"$63,529 ",95941 / 505,95941,505
1532,"$31,892 ",95934 / 504,95934,504
941,"$53,056 ",95564 / 500,95564,500
119,"$107,768 ",94970 / 495,94970,495
1366,"$38,690 ",95728 / 495,95728,495
1584,"$28,556 ",94922 / 492,94922,492
815,"$57,639 ",95970 / 482,95970,482
393,"$79,485 ",94963 / 461,94963,461
835,"$56,923 ",95956 / 459,95956,459
